,ctwl/nm,peak/dB
964,1536.42,38.097
965,1536.416,38.094
966,1536.416,38.099
967,1536.42,38.097
968,1536.416,38.093
969,1536.416,38.101
970,1536.416,38.1
971,1536.416,38.1
972,1536.416,38.101
973,1536.412,38.088
974,1536.412,38.09
975,1536.408,38.092
976,1536.412,38.096
977,1536.408,38.095
978,1536.408,38.098
979,1536.412,38.089
980,1536.408,38.099
981,1536.408,38.09
982,1536.408,38.101
983,1536.404,38.09
984,1536.412,38.097
985,1536.408,38.096
986,1536.408,38.088
987,1536.408,38.087
988,1536.408,38.094
989,1536.408,38.086
990,1536.404,38.086
991,1536.408,38.092
992,1536.404,38.092
993,1536.404,38.086
994,1536.408,38.087
995,1536.404,38.088
996,1536.404,38.086
997,1536.4,38.084
998,1536.4,38.09
999,1536.4,38.089
1000,1536.4,38.094
1001,1536.4,38.086
1002,1536.4,38.089
1003,1536.396,38.083
1004,1536.396,38.093
1005,1536.396,38.083
1006,1536.396,38.086
1007,1536.396,38.08
1008,1536.392,38.081
1009,1536.396,38.09
1010,1536.388,38.085
1011,1536.392,38.082
1012,1536.392,38.087
1013,1536.388,38.081
1014,1536.392,38.087
1015,1536.388,38.088
1016,1536.388,38.087
1017,1536.388,38.08
1018,1536.384,38.088
1019,1536.384,38.086
1020,1536.384,38.086
1021,1536.38,38.08
1022,1536.38,38.088
1023,1536.38,38.086
1024,1536.38,38.078
1025,1536.376,38.08
1026,1536.376,38.077
1027,1536.38,38.08
1028,1536.376,38.08
1029,1536.372,38.087
1030,1536.372,38.078
1031,1536.376,38.082
1032,1536.372,38.074
1033,1536.372,38.077
1034,1536.372,38.084
1035,1536.372,38.083
1036,1536.372,38.08
1037,1536.368,38.079
1038,1536.368,38.073
1039,1536.372,38.078
1040,1536.368,38.07
1041,1536.368,38.069
1042,1536.372,38.07
1043,1536.368,38.074
1044,1536.368,38.066
1045,1536.368,38.068
1046,1536.368,38.065
1047,1536.368,38.07
1048,1536.368,38.071
1049,1536.364,38.074
1050,1536.368,38.067
1051,1536.368,38.071
1052,1536.364,38.071
1053,1536.364,38.064
1054,1536.368,38.068
1055,1536.364,38.07
1056,1536.364,38.067
1057,1536.364,38.066
1058,1536.364,38.066
1059,1536.364,38.066
1060,1536.364,38.063
1061,1536.364,38.068
1062,1536.364,38.067
1063,1536.364,38.066
1064,1536.364,38.067
1065,1536.364,38.067
1066,1536.364,38.068
1067,1536.364,38.06
1068,1536.36,38.056
1069,1536.36,38.057
1070,1536.36,38.056
1071,1536.36,38.063
1072,1536.36,38.056
1073,1536.36,38.062
1074,1536.36,38.056
1075,1536.356,38.065
1076,1536.356,38.064
1077,1536.356,38.054
1078,1536.356,38.06
1079,1536.356,38.063
1080,1536.356,38.057
1081,1536.352,38.057
1082,1536.352,38.066
1083,1536.352,38.066
1084,1536.352,38.057
1085,1536.352,38.058
1086,1536.352,38.065
1087,1536.352,38.065
1088,1536.352,38.06
1089,1536.352,38.06
1090,1536.348,38.059
1091,1536.352,38.067
1092,1536.348,38.066
1093,1536.348,38.066
1094,1536.348,38.058
1095,1536.348,38.069
1096,1536.348,38.061
1097,1536.344,38.059
1098,1536.348,38.069
1099,1536.344,38.06
1100,1536.344,38.065
1101,1536.344,38.061
1102,1536.344,38.065
1103,1536.344,38.069
1104,1536.344,38.07
1105,1536.34,38.065
1106,1536.34,38.071
1107,1536.34,38.065
1108,1536.34,38.071
1109,1536.34,38.07
1110,1536.34,38.066
1111,1536.34,38.066
1112,1536.34,38.073
1113,1536.336,38.074
1114,1536.336,38.067
1115,1536.336,38.068
1116,1536.336,38.069
1117,1536.336,38.067
1118,1536.336,38.075
1119,1536.336,38.066
1120,1536.336,38.074
1121,1536.332,38.073
1122,1536.332,38.067
1123,1536.332,38.067
1124,1536.332,38.068
1125,1536.332,38.072
1126,1536.332,38.068
1127,1536.332,38.069
1128,1536.332,38.067
1129,1536.332,38.077
1130,1536.328,38.078
1131,1536.328,38.079
1132,1536.328,38.071
1133,1536.328,38.069
1134,1536.328,38.075
1135,1536.328,38.071
1136,1536.328,38.076
1137,1536.328,38.076
1138,1536.328,38.077
1139,1536.324,38.073
1140,1536.328,38.069
1141,1536.328,38.078
1142,1536.324,38.072
1143,1536.324,38.069
1144,1536.324,38.071
1145,1536.324,38.069
1146,1536.324,38.076
1147,1536.324,38.069
1148,1536.324,38.072
1149,1536.324,38.072
1150,1536.324,38.07
1151,1536.32,38.072
1152,1536.32,38.079
1153,1536.32,38.08
1154,1536.32,38.078
1155,1536.32,38.079
1156,1536.32,38.072
1157,1536.32,38.073
1158,1536.32,38.071
1159,1536.32,38.071
1160,1536.316,38.073
1161,1536.32,38.072
1162,1536.32,38.081
1163,1536.316,38.074
1164,1536.316,38.079
1165,1536.316,38.072
1166,1536.32,38.071
1167,1536.316,38.076
1168,1536.316,38.072
1169,1536.316,38.071
1170,1536.316,38.07
1171,1536.316,38.073
1172,1536.312,38.073
1173,1536.312,38.078
1174,1536.312,38.07
1175,1536.312,38.071
1176,1536.312,38.072
1177,1536.312,38.079
1178,1536.312,38.073
1179,1536.312,38.074
1180,1536.312,38.081
1181,1536.308,38.081
1182,1536.308,38.073
1183,1536.308,38.075
1184,1536.308,38.082
1185,1536.308,38.079
1186,1536.308,38.074
1187,1536.308,38.073
1188,1536.308,38.075
1189,1536.308,38.075
1190,1536.308,38.083
1191,1536.308,38.082
1192,1536.308,38.073
1193,1536.304,38.077
1194,1536.304,38.083
1195,1536.304,38.079
1196,1536.304,38.081
1197,1536.304,38.075
1198,1536.304,38.073
1199,1536.304,38.078
1200,1536.304,38.083
1201,1536.304,38.081
1202,1536.304,38.076
1203,1536.304,38.073
1204,1536.304,38.075
1205,1536.304,38.074
1206,1536.304,38.077
1207,1536.3,38.081
1208,1536.3,38.082
1209,1536.304,38.076
1210,1536.3,38.075
1211,1536.3,38.073
1212,1536.3,38.08
1213,1536.3,38.081
1214,1536.3,38.079
1215,1536.3,38.081
1216,1536.3,38.081
1217,1536.3,38.073
1218,1536.3,38.072
1219,1536.3,38.073
1220,1536.296,38.076
1221,1536.296,38.075
1222,1536.296,38.083
1223,1536.3,38.082
1224,1536.296,38.077
1225,1536.296,38.083
1226,1536.296,38.08
1227,1536.296,38.081
1228,1536.296,38.081
1229,1536.296,38.073
1230,1536.296,38.074
1231,1536.296,38.082
1232,1536.296,38.076
1233,1536.296,38.082
1234,1536.296,38.082
1235,1536.292,38.076
1236,1536.296,38.074
1237,1536.292,38.075
1238,1536.292,38.082
1239,1536.292,38.078
1240,1536.292,38.082
1241,1536.292,38.08
1242,1536.292,38.077
1243,1536.292,38.075
