,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
234,2022-07-12 00:17:29,1547.9162,,32.30,1.6940,1.358386E-7
235,2022-07-12 00:18:58,1547.8822,,33.93,1.8000,1.358356E-7
236,2022-07-12 00:20:27,1547.6333,,34.06,1.8085,1.358138E-7
237,2022-07-12 00:21:56,1547.3169,,27.60,1.4025,1.357860E-7
238,2022-07-12 00:23:25,1547.0382,,34.08,1.8100,1.357616E-7
239,2022-07-12 00:24:54,1546.7861,,34.01,1.8050,1.357394E-7
240,2022-07-12 00:26:23,1546.5505,,33.82,1.7930,1.357188E-7
241,2022-07-12 00:27:51,1546.3632,,25.09,1.2545,1.357023E-7
242,2022-07-12 00:29:20,1546.1613,,32.45,1.7040,1.356846E-7
243,2022-07-12 00:30:49,1546.0093,,27.36,1.3885,1.356713E-7
244,2022-07-12 00:32:18,1545.8622,,33.75,1.7880,1.356584E-7
245,2022-07-12 00:33:47,1545.7156,,33.68,1.7835,1.356455E-7
246,2022-07-12 00:35:16,1545.5862,,20.33,0.9870,1.356341E-7
247,2022-07-12 00:36:45,1545.4631,,33.60,1.7785,1.356233E-7
248,2022-07-12 00:38:14,1545.339,,32.76,1.7240,1.356125E-7
249,2022-07-12 00:39:42,1545.2264,,33.03,1.7415,1.356026E-7
250,2022-07-12 00:41:12,1545.1162,,33.56,1.7755,1.355929E-7
251,2022-07-12 00:42:40,1545.0026,,31.88,1.6670,1.355829E-7
252,2022-07-12 00:44:09,1544.9321,,33.57,1.7765,1.355767E-7
253,2022-07-12 00:45:38,1544.8285,,33.54,1.7745,1.355677E-7
254,2022-07-12 00:47:07,1544.7313,,33.53,1.7740,1.355591E-7
255,2022-07-12 00:48:36,1544.6519,,33.34,1.7615,1.355522E-7
256,2022-07-12 00:50:05,1544.5685,,19.02,0.9160,1.355448E-7
257,2022-07-12 00:51:34,1544.4775,,33.40,1.7655,1.355369E-7
258,2022-07-12 00:53:03,1544.4082,,32.44,1.7030,1.355308E-7
