,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
225,2022/7/12 0:04,1547.9096,1.746,33.104,0.000135838,5.76E-06
226,2022/7/12 0:05,1547.9086,1.6295,31.2852,0.000135838,-1.18E-06
227,2022/7/12 0:07,1547.9087,1.505,29.2869,0.000135838,1.18E-07
228,2022/7/12 0:08,1547.9154,1.83,34.3855,0.000135839,7.88E-06
229,2022/7/12 0:10,1547.912,1.817,34.1888,0.000135838,-4.00E-06
230,2022/7/12 0:11,1547.9173,1.797,33.885,0.000135839,6.23E-06
231,2022/7/12 0:13,1547.9195,1.816,34.1736,0.000135839,2.59E-06
232,2022/7/12 0:14,1547.9184,1.8005,33.9383,0.000135839,-1.29E-06
233,2022/7/12 0:16,1547.9192,1.803,33.9763,0.000135839,9.41E-07
234,2022/7/12 0:17,1547.917,0.5835,12.5721,0.000135839,-2.59E-06
235,2022/7/12 0:18,1547.8716,1.8285,34.3628,0.000135835,-5.34E-05
236,2022/7/12 0:20,1547.6185,1.7985,33.9078,0.000135812,-0.000297646
237,2022/7/12 0:21,1547.3243,1.8075,34.0447,0.000135787,-0.000346045
238,2022/7/12 0:23,1547.044,1.8135,34.1357,0.000135762,-0.000329755
239,2022/7/12 0:24,1546.788,1.816,34.1736,0.00013574,-0.000301218
240,2022/7/12 0:26,1546.568,1.802,33.9611,0.00013572,-0.000258896
241,2022/7/12 0:27,1546.3517,1.818,34.2039,0.000135701,-0.000254577
242,2022/7/12 0:29,1546.1729,1.806,34.0219,0.000135686,-0.000210465
243,2022/7/12 0:30,1546.0103,1.8065,34.0295,0.000135671,-0.000191417
244,2022/7/12 0:32,1545.8586,1.7965,33.8774,0.000135658,-0.000178602
245,2022/7/12 0:33,1545.7115,1.7245,32.772,0.000135645,-0.000173203
246,2022/7/12 0:35,1545.5817,1.3035,25.9287,0.000135634,-0.000152846
247,2022/7/12 0:36,1545.4669,1.7985,33.9078,0.000135624,-0.000135193
248,2022/7/12 0:38,1545.3474,1.8175,34.1963,0.000135613,-0.000140739
249,2022/7/12 0:39,1545.2361,1.785,33.7021,0.000135603,-0.000131091
250,2022/7/12 0:41,1545.1279,1.8015,33.9535,0.000135594,-0.000127448
251,2022/7/12 0:42,1545.0223,1.606,30.9124,0.000135585,-0.000124394
252,2022/7/12 0:44,1544.9267,1.7875,33.7402,0.000135576,-0.000112622
253,2022/7/12 0:45,1544.8371,1.747,33.1194,0.000135568,-0.000105559
254,2022/7/12 0:47,1544.7474,1.1665,23.5548,0.000135561,-0.000105683
255,2022/7/12 0:48,1544.6646,1.792,33.8088,0.000135553,-9.76E-05
256,2022/7/12 0:50,1544.5762,0.9485,19.6196,0.000135546,-0.000104163
