,ctwl/nm,peak/dB
645,1546.996,43.432
646,1546.948,43.439
647,1546.9,43.437
648,1546.856,43.448
649,1546.812,43.448
650,1546.764,43.456
651,1546.724,43.459
652,1546.68,43.461
653,1546.636,43.461
654,1546.596,43.465
655,1546.552,43.468
656,1546.512,43.471
657,1546.468,43.473
658,1546.428,43.475
659,1546.388,43.479
660,1546.348,43.48
661,1546.308,43.481
662,1546.268,43.479
663,1546.228,43.484
664,1546.192,43.483
665,1546.152,43.479
666,1546.116,43.488
667,1546.076,43.487
668,1546.044,43.493
669,1546.004,43.482
670,1545.968,43.482
671,1545.932,43.489
672,1545.896,43.491
673,1545.86,43.499
674,1545.828,43.493
675,1545.792,43.485
676,1545.76,43.488
677,1545.724,43.481
678,1545.692,43.482
679,1545.66,43.486
680,1545.628,43.488
681,1545.592,43.481
682,1545.56,43.481
683,1545.528,43.475
684,1545.496,43.478
685,1545.464,43.48
686,1545.432,43.472
687,1545.4,43.477
688,1545.368,43.468
689,1545.332,43.467
690,1545.304,43.474
691,1545.272,43.468
692,1545.244,43.458
693,1545.216,43.463
694,1545.184,43.46
695,1545.156,43.458
696,1545.124,43.455
697,1545.096,43.455
698,1545.064,43.448
699,1545.036,43.451
700,1545.008,43.449
701,1544.984,43.442
702,1544.952,43.439
703,1544.924,43.443
704,1544.9,43.432
705,1544.872,43.429
706,1544.844,43.427
707,1544.812,43.431
708,1544.788,43.42
709,1544.76,43.413
710,1544.732,43.422
711,1544.704,43.406
712,1544.68,43.408
713,1544.648,43.402
714,1544.624,43.405
715,1544.6,43.395
716,1544.572,43.389
717,1544.544,43.394
718,1544.52,43.388
719,1544.496,43.381
720,1544.472,43.383
721,1544.448,43.378
722,1544.424,43.368
723,1544.4,43.361
724,1544.372,43.373
725,1544.348,43.364
726,1544.324,43.361
727,1544.3,43.363
728,1544.276,43.357
729,1544.252,43.357
730,1544.232,43.346
731,1544.208,43.346
732,1544.184,43.338
733,1544.16,43.333
734,1544.136,43.325
735,1544.112,43.325
736,1544.088,43.325
737,1544.068,43.316
738,1544.044,43.317
739,1544.024,43.31
740,1544.0,43.312
741,1543.976,43.308
742,1543.952,43.306
743,1543.932,43.299
744,1543.908,43.303
745,1543.888,43.299
746,1543.864,43.293
747,1543.844,43.283
748,1543.82,43.291
749,1543.8,43.28
750,1543.78,43.277
751,1543.76,43.274
752,1543.74,43.272
753,1543.716,43.28
754,1543.696,43.275
755,1543.676,43.266
756,1543.656,43.266
757,1543.636,43.264
758,1543.616,43.26
759,1543.596,43.253
760,1543.58,43.249
761,1543.56,43.248
762,1543.54,43.246
763,1543.52,43.246
764,1543.5,43.239
765,1543.48,43.231
766,1543.464,43.233
767,1543.444,43.232
768,1543.424,43.224
769,1543.404,43.223
770,1543.388,43.22
771,1543.368,43.215
772,1543.352,43.212
773,1543.332,43.209
774,1543.316,43.206
775,1543.296,43.205
776,1543.276,43.208
777,1543.26,43.2
778,1543.24,43.199
779,1543.224,43.187
780,1543.204,43.191
781,1543.188,43.186
782,1543.172,43.183
783,1543.152,43.18
784,1543.136,43.173
785,1543.116,43.176
786,1543.1,43.167
787,1543.084,43.169
788,1543.064,43.168
789,1543.048,43.164
790,1543.032,43.163
791,1543.016,43.158
792,1542.996,43.156
793,1542.98,43.159
794,1542.964,43.156
795,1542.948,43.143
796,1542.932,43.146
797,1542.916,43.144
798,1542.9,43.14
799,1542.88,43.144
800,1542.864,43.137
801,1542.848,43.125
802,1542.832,43.127
803,1542.816,43.126
804,1542.8,43.126
805,1542.784,43.124
