,Unnamed: 0,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
1111,1111,2022-07-12 22:05:01,1536.3375,1.706000000000003,32.485,0.0001348225180842,-8.292448759990559e-07
1112,1112,2022-07-12 22:06:30,1536.3388,1.711500000000001,32.5705,0.0001348226321667,1.5400248954331592e-06
1113,1113,2022-07-12 22:08:00,1536.337,1.697499999999998,32.3528,0.0001348224742063,-2.132344661363553e-06
1114,1114,2022-07-12 22:09:30,1536.3381,1.7014999999999991,32.415,0.0001348225707376,1.303098582213952e-06
1115,1115,2022-07-12 22:10:59,1536.3349,1.7085000000000008,32.5239,0.0001348222899191,-3.79084013503795e-06
1116,1116,2022-07-12 22:12:29,1536.3351,1.694499999999998,32.306,0.0001348223074703,2.3692747754616065e-07
1117,1117,2022-07-12 22:13:59,1536.3351,1.7190000000000012,32.6868,0.0001348223074703,0.0
1118,1118,2022-07-12 22:15:29,1536.3348,1.7104999999999997,32.555,0.0001348222811435,-3.5539128571646145e-07
1119,1119,2022-07-12 22:16:58,1536.3327,1.7190000000000012,32.6868,0.0001348220968563,-2.487742401292415e-06
1120,1120,2022-07-12 22:18:28,1536.3322,1.708000000000002,32.5161,0.0001348220529784,-5.923198119336242e-07
1121,1121,2022-07-12 22:19:58,1536.3311,1.711000000000002,32.5627,0.0001348219564471,-1.3031045195344133e-06
1122,1122,2022-07-12 22:21:27,1536.3314,1.7050000000000018,32.4695,0.0001348219827738,3.553920722201881e-07
1123,1123,2022-07-12 22:22:57,1536.3323,1.6575000000000024,31.7268,0.000134822061754,1.066175592352415e-06
1124,1124,2022-07-12 22:24:27,1536.3322,1.7040000000000006,32.4539,0.0001348220529784,-1.1846396238672483e-07
1125,1125,2022-07-12 22:25:57,1536.3303,1.7005000000000017,32.3995,0.0001348218862424,-2.250818069499515e-06
1126,1126,2022-07-12 22:27:27,1536.3302,1.6975000000000016,32.3528,0.0001348218774669,-1.1846411660352328e-07
1127,1127,2022-07-12 22:28:57,1536.3314,1.6999999999999993,32.3917,0.0001348219827738,1.4215682891501084e-06
1128,1128,2022-07-12 22:30:26,1536.3304,1.6920000000000002,32.267,0.000134821895018,-1.1846410120876099e-06
1129,1129,2022-07-12 22:31:56,1536.3274,1.692499999999999,32.2748,0.0001348216317506,-3.5539299763088954e-06
1130,1130,2022-07-12 22:33:26,1536.3308,1.6914999999999978,32.2593,0.0001348219301203,4.0277783925844385e-06
1131,1131,2022-07-12 22:35:02,1536.3286,1.714500000000001,32.6171,0.0001348217370576,-2.6062132800382372e-06
1132,1132,2022-07-12 22:36:32,1536.3294,0.6359999999999992,13.6226,0.0001348218072622,9.47713426592197e-07
